_id,AddedAtUtc,CountOfAllowedCompetitions,CreatedBy,CustomizeWebsite,HasApi,HasFavourites,HasGameReminders,HasImportData,HasLeagueWebsite,HasRegistration,HasRosters,HasSchedule,HasSmartDraw,HasStandings,HasStatistics,HasUnlimitedMedias,HasWidgets,HasYourOwnDomain,Plan,UpdatedAtUtc,UpdatedBy,UsingParticipantFees,UsingVoiceToResults,Version
6a8797df-377a-4cdd-a756-5447b182563e,2023-06-01T22:50:56.944Z,1,System,false,false,false,false,false,true,false,true,true,true,true,true,true,false,false,0,2023-06-01T22:50:56.944Z,,false,false,0
e3a5b09b-7b3e-4029-9957-1579e1282970,2023-06-01T22:50:56.944Z,10,System,false,false,true,true,false,true,false,true,true,true,true,true,true,false,false,1,2023-06-01T22:50:56.944Z,,false,true,0
b0340566-0e0d-422a-a59f-1729f6343812,2023-06-01T22:50:56.945Z,2147483647,System,false,false,true,true,false,true,true,true,true,true,true,true,true,false,true,2,2023-06-01T22:50:56.945Z,,true,true,0
d22d212d-c86a-465b-b092-a5cb2da64d6d,2023-06-01T22:50:56.945Z,2147483647,System,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3,2023-06-01T22:50:56.945Z,,true,true,0
